"동별(1)",동별(2),동별(3),2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",중랑구,상봉2동,13361,21645,10121,11524,21061,9876,11185,584,245,339
"합계",중랑구,중화1동,8731,18223,8973,9250,17931,8861,9070,292,112,180
"합계",중랑구,중화2동,14200,25861,13097,12764,25203,12801,12402,658,296,362
"합계",중랑구,묵1동,14868,33318,15798,17520,33086,15702,17384,232,96,136
"합계",중랑구,묵2동,9197,18062,8800,9262,17690,8656,9034,372,144,228
"합계",중랑구,망우3동,8203,15768,7872,7896,15217,7642,7575,551,230,321
"합계",중랑구,신내1동,14677,36902,17654,19248,36705,17573,19132,197,81,116
"합계",중랑구,신내2동,8813,19148,9014,10134,19052,8988,10064,96,26,70
"합계",중랑구,면목본동,17648,32677,16035,16642,31733,15616,16117,944,419,525
"합계",중랑구,면목3.8동,12711,24084,11848,12236,23509,11594,11915,575,254,321
"합계",중랑구,망우본동,18860,38601,18931,19670,38066,18710,19356,535,221,314
"합계",성북구,소계,199197,438314,207982,230332,423705,202481,221224,14609,5501,9108
"합계",성북구,돈암1동,5987,13941,6479,7462,13840,6435,7405,101,44,57
"합계",성북구,돈암2동,8502,23047,10851,12196,22912,10785,12127,135,66,69
"합계",성북구,안암동,10385,18227,8670,9557,15532,7770,7762,2695,900,1795
"합계",성북구,보문동,8084,16335,7770,8565,15816,7574,8242,519,196,323
"합계",성북구,정릉1동,7350,17866,8523,9343,17594,8408,9186,272,115,157
"합계",성북구,정릉2동,9641,22110,10559,11551,21793,10445,11348,317,114,203
"합계",성북구,정릉3동,7903,15725,7637,8088,13872,6812,7060,1853,825,1028
