"자치구별(1)","연령별(1)",연령별(2),2042,2042,2042
"자치구별(1)","연령별(1)",연령별(2),계,남자,여자
"종로구","70~74세",74세,1739,784,955
"종로구","75~79세",소계,8073,3695,4378
"종로구","75~79세",75세,1624,763,861
"종로구","75~79세",76세,1632,759,873
"종로구","75~79세",77세,1616,723,893
"종로구","75~79세",78세,1495,672,823
"종로구","75~79세",79세,1706,778,928
"종로구","80~84세",소계,7361,3192,4169
"종로구","80~84세",80세,1462,682,780
"종로구","80~84세",81세,1720,744,976
"종로구","80~84세",82세,1538,631,907
"종로구","80~84세",83세,1391,597,794
"종로구","80~84세",84세,1250,538,712
"종로구","85~89세",소계,4607,1834,2773
"종로구","85~89세",85세,1147,463,684
"종로구","85~89세",86세,1038,425,613
"종로구","85~89세",87세,1029,403,626
"종로구","85~89세",88세,724,283,441
"종로구","85~89세",89세,669,260,409
"종로구","90~94세",소계,2033,711,1322
"종로구","90~94세",90세,586,220,366
"종로구","90~94세",91세,392,141,251
"종로구","90~94세",92세,425,144,281
"종로구","90~94세",93세,325,107,218
"종로구","90~94세",94세,305,99,206
"종로구","95세 이상",소계,828,228,600
"중구","합계",소계,117367,54890,62477
"중구","0~4세",소계,3064,1566,1498
"중구","0~4세",0세,707,363,344
"중구","0~4세",1세,632,323,309
"중구","0~4세",2세,597,305,292
"중구","0~4세",3세,574,293,281
"중구","0~4세",4세,554,282,272
"중구","5~9세",소계,2276,1171,1105
"중구","5~9세",5세,524,268,256
"중구","5~9세",6세,484,249,235
"중구","5~9세",7세,452,234,218
"중구","5~9세",8세,423,218,205
"중구","5~9세",9세,393,202,191
"중구","10~14세",소계,1563,801,762
"중구","10~14세",10세,365,187,178
"중구","10~14세",11세,331,168,163
"중구","10~14세",12세,310,159,151
"중구","10~14세",13세,285,147,138
"중구","10~14세",14세,272,140,132
"중구","15~19세",소계,1622,794,828
"중구","15~19세",15세,262,138,124
"중구","15~19세",16세,246,125,121
"중구","15~19세",17세,269,141,128
"중구","15~19세",18세,354,163,191
"중구","15~19세",19세,491,227,264
"중구","20~24세",소계,4757,2125,2632
"중구","20~24세",20세,653,282,371
"중구","20~24세",21세,778,349,429
"중구","20~24세",22세,937,430,507
"중구","20~24세",23세,1134,493,641
"중구","20~24세",24세,1255,571,684
"중구","25~29세",소계,8451,3731,4720
"중구","25~29세",25세,1485,640,845
"중구","25~29세",26세,1652,727,925
"중구","25~29세",27세,1695,757,938
"중구","25~29세",28세,1766,780,986
"중구","25~29세",29세,1853,827,1026
"중구","30~34세",소계,9217,4242,4975
"중구","30~34세",30세,1921,869,1052
"중구","30~34세",31세,1892,870,1022
"중구","30~34세",32세,1775,806,969
"중구","30~34세",33세,1758,859,899
"중구","30~34세",34세,1871,838,1033
"중구","35~39세",소계,7912,3831,4081
"중구","35~39세",35세,1647,830,817
"중구","35~39세",36세,1584,733,851
"중구","35~39세",37세,1544,758,786
"중구","35~39세",38세,1586,769,817
"중구","35~39세",39세,1551,741,810
"중구","40~44세",소계,8239,4044,4195
